loc,code,name,region
Russia,RUS,Russian Federation,Europe & Central Asia
Slovakia,SVK,Slovak Republic,Europe & Central Asia
South Korea,KOR,"Korea, Rep.",East Asia & Pacific
Saint Lucia,LCA,St. Lucia,Latin America & Caribbean 
Venezuela,VEN,"Venezuela, RB",Latin America & Caribbean 
Saint Kitts and Nevis,KNA,St. Kitts and Nevis,Latin America & Caribbean 
Niue,nan,nan,nan
Laos,LAO,Lao PDR,East Asia & Pacific
Bahamas,BHS,"Bahamas, The",Latin America & Caribbean 
Cape Verde,CPV,Cabo Verde,Sub-Saharan Africa 
Macedonia,MKD,"Macedonia, FYR",Europe & Central Asia
Saint Vincent and the Grenadines,VCT,St. Vincent and the Grenadines,Latin America & Caribbean 
Cook Islands,nan,nan,nan
Ivory Coast,CIV,Cote d'Ivoire,Sub-Saharan Africa 
Netherlands Antilles,ABW,Aruba,Latin America & Caribbean 
Netherlands Antilles,CUW,Curacao,Latin America & Caribbean 
Kyrgyzstan,KGZ,Kyrgyz Republic,Europe & Central Asia
Republic of the Congo,COG,"Congo, Rep.",Sub-Saharan Africa 
North Korea,PRK,"Korea, Dem. People���s Rep.",East Asia & Pacific
Democratic Republic of the Congo,COD,"Congo, Dem. Rep.",Sub-Saharan Africa 
Gambia,GMB,"Gambia, The",Sub-Saharan Africa 
Federated States of Micronesia,FSM,"Micronesia, Fed. Sts.",East Asia & Pacific
Brunei,BRN,Brunei Darussalam,East Asia & Pacific
Syria,SYR,Syrian Arab Republic,Middle East & North Africa
Iran,IRN,"Iran, Islamic Rep.",Middle East & North Africa
Burma,MMR,Myanmar,East Asia & Pacific
Egypt,EGY,"Egypt, Arab Rep.",Middle East & North Africa
Yemen,YEM,"Yemen, Rep.",Middle East & North Africa